Trimestre,IPCA
1º 2012,0.41
2º 2012,0.36
3º 2012,0.47
4º 2012,0.66
1º 2013,0.64
2º 2013,0.39
3º 2013,0.21
4º 2013,0.68
1º 2014,0.72
2º 2014,0.51
3º 2014,0.28
4º 2014,0.57
1º 2015,1.26
2º 2015,0.75
3º 2015,0.46
4º 2015,0.93
1º 2016,0.87
2º 2016,0.58
3º 2016,0.35
4º 2016,0.25
1º 2017,0.32
2º 2017,0.07
3º 2017,0.2
4º 2017,0.38
1º 2018,0.23
2º 2018,0.63
3º 2018,0.24
4º 2018,0.13
1º 2019,0.5
2º 2019,0.24
3º 2019,0.09
4º 2019,0.59
1º 2020,0.18
2º 2020,-0.14
3º 2020,0.41
4º 2020,1.03
1º 2021,0.68
2º 2021,0.56
3º 2021,1.0
4º 2021,0.98
1º 2022,1.06
2º 2022,0.73
3º 2022,-0.44
4º 2022,0.54
1º 2023,0.69
2º 2023,0.25
3º 2023,0.2
4º 2023,0.36
1º 2024,0.47
2º 2024,0.35
3º 2024,0.27
4º 2024,0.49
1º 2025,0.68
2º 2025,0.31
3º 2025,0.21
4º 2025,0.2
